aluguel,CEP,Município,Bairro,Logradouro,Condomínio,IPTU,Tamanho,Vagas na garagem,Área útil,Banheiros,Tipo,Aluguel + Condomínio,Detalhes do imóvel,Detalhes do condomínio,Área construída,Acomoda,Características
11.000,22795395,Rio de Janeiro,Recreio dos Bandeirantes,Rua Cecília Meireles,R$ 1,R$ 651,,3,,4,Padrão,R$ 11.001,"Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Churrasqueira, Mobiliado, Quarto de serviço, Varanda","Área murada, Permitido animais, Piscina, Segurança 24h",352m²,,
40.000,22740360,Rio de Janeiro,Pechincha,Estrada do Tindiba - até 464/465,R$ 0,R$ 2.813,3600m²,,,,Terrenos,,,,,,
1.100,22743041,Rio de Janeiro,Pechincha,,R$ 670,R$ 60,,1,56m²,1,Padrão,R$ 1.770,"Churrasqueira, Piscina","Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas",,,
4.500,20021060,Rio de Janeiro,Centro,Avenida Beira-Mar,R$ 6.000,R$ 2.000,550m²,3,,,,,,,,,
5.500,22240000,Rio de Janeiro,Laranjeiras,Rua das Laranjeiras - até 146/147,R$ 1.468,R$ 341,,1,155m²,2,Padrão,R$ 6.968,,Elevador,,,
1.750,21930330,Rio de Janeiro,Pitangueiras,Rua Engenheiro Maia Filho,R$ 0,R$ 0,,,,1,Padrão,R$ 1.750,Área de serviço,,90m²,,
,21380320,Rio de Janeiro,Cascadura,Rua Cerqueira Daltro,,,1200m²,,,,,,,,,,
1.650,20725050,Rio de Janeiro,Méier,Rua Joaquim Meier - até 612/613,R$ 350,R$ 110,,1,75m²,2,Padrão,R$ 2.000,"Área de serviço, Varanda","Condomínio fechado, Permitido animais",,,
12.500,22790903,Rio de Janeiro,Recreio dos Bandeirantes,Avenida Renê Laclette,R$ 500,R$ 1,,3,,5 ou mais,Padrão,R$ 13.000,"Ar condicionado, Porteiro 24h","Condomínio fechado, Permitido animais, Portão eletrônico",300m²,,
750,25955010,Teresópolis,Várzea,Rua Doutor Waldir Barbosa Moreira,R$ 370,R$ 180,45m²,,,,,,,,,,
800,20551031,Rio de Janeiro,Vila Isabel,Boulevard Vinte e Oito de Setembro - até 134 - lado par,,,6m²,0,,,,,,,,,
800,23015240,Rio de Janeiro,Campo Grande,Rua Potiragua,,,17m²,0,,,,,,,,,
7.500,22790072,Rio de Janeiro,Recreio dos Bandeirantes,Avenida Genaro de Carvalho - de 2 a 932 - lado par,R$ 1.200,R$ 712,,3,300m²,4,Cobertura,R$ 8.700,Piscina,"Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas",,,
900,21911170,Rio de Janeiro,Freguesia (Ilha do Governador),Rua do Romancista,R$ 0,,,0,35m²,1,Loft,R$ 900,"Área de serviço, Armários na cozinha, Varanda",,,,
4.200,22290031,Rio de Janeiro,Botafogo,Rua da Passagem - de 101/102 ao fim,R$ 1.099,R$ 316,,1,66m²,3,Padrão,R$ 5.299,"Academia, Ar condicionado, Piscina, Varanda","Academia, Elevador, Piscina",,,
300,22745005,Rio de Janeiro,Freguesia (Jacarepaguá),Estrada dos Três Rios - de 268 ao fim - lado par,,,22m²,1,,,,,,,,,
1.300,24457060,São Gonçalo,Trindade,,,,,1,,1,Padrão,R$ 1.300,Área de serviço,,,,
